Amount,Delay,duration,response,BaseAmount,BaseDelay,RefID,duration_in_seconds,Age,Degree,Essentials,Investments,Leisure,Happiness,Sleep,Stress
30.0,12,2908.795999856942,0,20.0,0,2,2.908795999856942,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
80.0,2,1704.2639998569502,1,20.0,0,2,1.7042639998569502,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
130.0,52,2451.158999809268,1,20.0,0,2,2.451158999809268,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
50.0,24,3474.3649998092587,1,20.0,0,2,3.474364999809259,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
80.0,4,1702.9619998569542,1,20.0,0,2,1.7029619998569543,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
65.0,52,2253.159999856944,0,20.0,0,2,2.253159999856944,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
50.0,2,1801.2079998569534,1,20.0,0,2,1.8012079998569535,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
130.0,24,1412.408999952313,1,20.0,0,2,1.412408999952313,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
30.0,24,1961.606,0,20.0,0,2,1.961606,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
50.0,4,2102.174999809271,1,20.0,0,2,2.102174999809271,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
30.0,1,2753.5969998092623,1,20.0,0,2,2.7535969998092624,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
25.0,52,3739.463999904634,0,20.0,0,2,3.739463999904634,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
80.0,24,1340.3149998569424,1,20.0,0,2,1.3403149998569424,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
30.0,4,4461.259999999995,1,20.0,0,2,4.461259999999995,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
50.0,52,6161.934999856952,0,20.0,0,2,6.161934999856952,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
25.0,1,1639.56199985696,1,20.0,0,2,1.63956199985696,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
130.0,1,1113.112999952311,1,20.0,0,2,1.1131129999523108,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
25.0,2,1355.6169999523263,1,20.0,0,2,1.3556169999523262,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
80.0,12,980.5529999523131,1,20.0,0,2,0.9805529999523132,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
30.0,52,1052.1889998092663,0,20.0,0,2,1.0521889998092664,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
130.0,2,864.3029999523133,1,20.0,0,2,0.8643029999523133,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
50.0,1,907.7439998092595,1,20.0,0,2,0.9077439998092596,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
80.0,52,2007.369000000006,0,20.0,0,2,2.007369000000006,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
130.0,12,1270.1699999523116,1,20.0,0,2,1.2701699999523117,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
50.0,12,1148.793999809277,1,20.0,0,2,1.148793999809277,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
25.0,4,1144.5689998092712,1,20.0,0,2,1.1445689998092712,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
65.0,4,811.6140000000014,1,20.0,0,2,0.8116140000000014,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
65.0,1,585.4519998569449,1,20.0,0,2,0.5854519998569448,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
80.0,1,483.90799990462256,1,20.0,0,2,0.4839079999046226,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
25.0,12,780.6919999523088,1,20.0,0,2,0.7806919999523089,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
130.0,4,1257.502999952325,1,20.0,0,2,1.2575029999523248,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
65.0,2,1483.7259998569498,1,20.0,0,2,1.4837259998569499,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
30.0,2,1437.6179999523156,1,20.0,0,2,1.4376179999523155,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
25.0,24,3056.112999904639,0,20.0,0,2,3.056112999904639,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
65.0,12,1126.341999952303,1,20.0,0,2,1.126341999952303,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
65.0,24,1741.716999904631,1,20.0,0,2,1.741716999904631,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
50.0,2,2785.8979999999865,1,20.0,0,2,2.7858979999999867,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
50.0,1,638.9679999523214,1,20.0,0,2,0.6389679999523215,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
80.0,4,1135.580999809259,1,20.0,0,2,1.135580999809259,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
25.0,52,1527.9949999523233,0,20.0,0,2,1.5279949999523232,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
50.0,4,1126.379999856959,1,20.0,0,2,1.126379999856959,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
130.0,24,1052.524999904621,1,20.0,0,2,1.052524999904621,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
130.0,12,1490.445999856951,1,20.0,0,2,1.490445999856951,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
50.0,12,981.9709998569452,1,20.0,0,2,0.9819709998569452,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
80.0,12,1364.3239999523212,1,20.0,0,2,1.3643239999523211,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
30.0,4,8285.722999952326,1,20.0,0,2,8.285722999952325,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
25.0,4,1430.9709999046463,1,20.0,0,2,1.4309709999046463,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
130.0,52,2581.6209998092672,1,20.0,0,2,2.5816209998092674,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
25.0,2,1718.911999904638,1,20.0,0,2,1.7189119999046378,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
80.0,52,3229.1109999523032,1,20.0,0,2,3.229110999952303,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
25.0,24,4154.091999856959,0,20.0,0,2,4.154091999856959,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
130.0,1,1458.1759998092602,1,20.0,0,2,1.4581759998092603,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
80.0,24,1172.588999952306,1,20.0,0,2,1.172588999952306,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
65.0,24,927.046999809274,1,20.0,0,2,0.927046999809274,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
65.0,12,1367.9289998092572,1,20.0,0,2,1.3679289998092572,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
80.0,1,1122.8130000000235,1,20.0,0,2,1.1228130000000236,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
65.0,4,972.7799998569536,1,20.0,0,2,0.9727799998569536,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
30.0,2,867.4359998092405,1,20.0,0,2,0.8674359998092405,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
30.0,12,1183.9809999522986,1,20.0,0,2,1.1839809999522986,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
130.0,4,905.088999952306,1,20.0,0,2,0.9050889999523061,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
80.0,2,950.753999904613,1,20.0,0,2,0.950753999904613,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
30.0,52,1105.3119999999765,1,20.0,0,2,1.1053119999999765,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
65.0,1,789.8339998092852,1,20.0,0,2,0.7898339998092851,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
25.0,1,5224.135999999999,1,20.0,0,2,5.224135999999999,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
130.0,2,965.0109999046545,1,20.0,0,2,0.9650109999046544,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
65.0,2,776.3030000000144,1,20.0,0,2,0.7763030000000144,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
30.0,1,949.1179998092704,1,20.0,0,2,0.9491179998092704,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
65.0,52,2628.673999999999,0,20.0,0,2,2.6286739999999993,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
30.0,24,1260.7159998569405,1,20.0,0,2,1.2607159998569404,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
25.0,12,1635.73799995234,1,20.0,0,2,1.63573799995234,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
50.0,24,1684.4799999999814,1,20.0,0,2,1.6844799999999813,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
50.0,52,1126.266999809246,1,20.0,0,2,1.126266999809246,20.0,Undergraduate,80.0,,20.0,3.0,4.0,5.0
