Amount,Delay,duration,response,BaseAmount,BaseDelay,RefID,duration_in_seconds,Age,Degree,Essentials,Investments,Leisure,Happiness,Sleep,Stress
130.0,2,5417.920000023849,1,20.0,0,1,5.417920000023849,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
30.0,2,7329.364000023837,1,20.0,0,1,7.329364000023838,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
130.0,52,2710.8180000476714,0,20.0,0,1,2.7108180000476714,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
130.0,12,5997.853999976156,1,20.0,0,1,5.997853999976156,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
30.0,52,1796.2880000476723,0,20.0,0,1,1.7962880000476724,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
25.0,52,1571.3540000715293,0,20.0,0,1,1.5713540000715294,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
80.0,4,1799.4440000238535,1,20.0,0,1,1.7994440000238534,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
25.0,1,3068.1100000715232,1,20.0,0,1,3.068110000071523,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
80.0,52,4252.260000023845,1,20.0,0,1,4.2522600000238455,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
80.0,24,6028.123999976146,1,20.0,0,1,6.028123999976145,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
130.0,4,1689.7260000476963,1,20.0,0,1,1.6897260000476964,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
50.0,52,1253.8540000476933,0,20.0,0,1,1.2538540000476932,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
65.0,1,1825.898000071524,1,20.0,0,1,1.825898000071524,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
30.0,24,7172.59800004767,1,20.0,0,1,7.17259800004767,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
25.0,24,2136.3119999761693,0,20.0,0,1,2.1363119999761695,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
65.0,12,2742.05799999999,1,20.0,0,1,2.74205799999999,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
25.0,2,3073.0280000715284,1,20.0,0,1,3.0730280000715284,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
130.0,24,1975.8780000715344,1,20.0,0,1,1.9758780000715344,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
65.0,24,979.1179999761516,1,20.0,0,1,0.9791179999761517,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
80.0,12,1417.7179999761574,1,20.0,0,1,1.4177179999761576,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
50.0,4,1207.902000071539,1,20.0,0,1,1.207902000071539,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
50.0,24,1618.1440000238365,1,20.0,0,1,1.6181440000238365,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
65.0,2,913.1360000715358,1,20.0,0,1,0.9131360000715358,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
30.0,4,1207.2000000238477,1,20.0,0,1,1.2072000000238476,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
25.0,12,1549.6420000238286,0,20.0,0,1,1.5496420000238287,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
50.0,1,3231.8979999761505,0,20.0,0,1,3.2318979999761503,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
30.0,12,1573.9880000715202,1,20.0,0,1,1.5739880000715203,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
65.0,4,871.5780000238447,1,20.0,0,1,0.8715780000238447,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
50.0,12,6681.3400000238325,1,20.0,0,1,6.681340000023832,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
50.0,2,874.768000047683,1,20.0,0,1,0.8747680000476831,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
65.0,52,800.6300000715128,1,20.0,0,1,0.8006300000715127,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
80.0,1,706.9560000476777,1,20.0,0,1,0.7069560000476777,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
25.0,4,1639.5779999761726,0,20.0,0,1,1.6395779999761726,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
30.0,1,826.9040000238456,0,20.0,0,1,0.8269040000238456,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
80.0,2,686.7979999761446,1,20.0,0,1,0.6867979999761447,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
130.0,1,672.28600007153,1,20.0,0,1,0.6722860000715299,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
130.0,24,1263.9260000238428,1,20.0,0,1,1.2639260000238428,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
130.0,1,909.603999999992,1,20.0,0,1,0.909603999999992,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
80.0,1,785.2679999761749,1,20.0,0,1,0.7852679999761749,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
30.0,24,777.2600000715465,1,20.0,0,1,0.7772600000715465,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
80.0,4,1904.2520000477089,1,20.0,0,1,1.9042520000477088,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
65.0,4,5911.521999999997,1,20.0,0,1,5.911521999999997,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
80.0,12,3303.086000023817,1,20.0,0,1,3.3030860000238174,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
